job,marital,education,default,housing,loan,deposit
admin.,married,secondary,no,yes,no,yes
admin.,married,secondary,no,no,no,yes
technician,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
admin.,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,yes,yes
management,married,tertiary,no,yes,yes,yes
retired,divorced,secondary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
blue-collar,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,yes,yes
admin.,divorced,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
unemployed,single,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,married,secondary,yes,yes,no,yes
technician,married,primary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
management,single,tertiary,no,no,no,yes
blue-collar,married,primary,no,no,no,yes
management,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
entrepreneur,single,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
management,married,tertiary,no,yes,no,yes
entrepreneur,divorced,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,married,unknown,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
housemaid,married,secondary,no,yes,no,yes
technician,divorced,primary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
management,divorced,tertiary,no,yes,yes,yes
retired,married,secondary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
retired,married,primary,no,yes,no,yes
technician,single,unknown,no,yes,no,yes
technician,married,tertiary,no,no,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,unknown,no,yes,no,yes
unknown,married,primary,no,yes,yes,yes
services,married,primary,no,yes,no,yes
admin.,married,primary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
services,single,primary,no,yes,no,yes
management,married,tertiary,no,no,no,yes
retired,divorced,primary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
services,single,unknown,no,yes,no,yes
technician,married,tertiary,no,yes,yes,yes
self-employed,single,tertiary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
services,divorced,secondary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
management,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
technician,single,tertiary,no,yes,yes,yes
technician,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
technician,divorced,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,yes,yes
blue-collar,married,unknown,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,single,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
management,married,tertiary,no,yes,yes,yes
blue-collar,single,secondary,yes,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
technician,married,secondary,no,yes,yes,yes
retired,married,primary,no,no,no,yes
technician,single,tertiary,no,yes,no,yes
technician,single,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
blue-collar,married,primary,no,yes,no,yes
self-employed,divorced,tertiary,no,yes,no,yes
blue-collar,single,secondary,no,yes,no,yes
blue-collar,divorced,primary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
management,divorced,tertiary,no,no,no,yes
blue-collar,married,primary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
technician,married,tertiary,no,yes,no,yes
technician,divorced,secondary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,no,no,yes
self-employed,single,tertiary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
management,married,tertiary,no,yes,no,yes
admin.,divorced,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,no,yes
management,divorced,tertiary,no,yes,no,yes
services,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
retired,single,secondary,no,yes,no,yes
entrepreneur,single,primary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
admin.,single,secondary,no,yes,yes,yes
blue-collar,married,secondary,no,yes,no,yes
services,divorced,secondary,no,yes,yes,yes
management,married,tertiary,no,no,no,yes
management,single,tertiary,no,yes,no,yes
technician,single,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
self-employed,single,secondary,no,yes,no,yes
management,married,secondary,no,yes,no,yes
services,single,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
student,single,secondary,no,yes,no,yes
entrepreneur,married,unknown,no,yes,no,yes
blue-collar,married,secondary,no,yes,yes,yes
admin.,married,secondary,no,yes,no,yes
blue-collar,married,secondary,no,yes,no,yes
unemployed,divorced,secondary,no,yes,no,yes
blue-collar,divorced,secondary,no,yes,no,yes
technician,married,secondary,no,yes,no,yes
management,single,tertiary,no,yes,no,yes
admin.,married,secondary,no,yes,no,yes
